prev_id	curr_id	n	prev_title	curr_title	type
26181056	9003666	17	And	"\"And\"_theory_of_conservatism"	link
""	9003666	109	other-wikipedia	"\"And\"_theory_of_conservatism"	other
""	9003666	18	other-google	"\"And\"_theory_of_conservatism"	other
""	39072529	49	other-google	"\"Bassy\"_Bob_Brockmann"	other
""	39072529	10	other-other	"\"Bassy\"_Bob_Brockmann"	other
11273993	""	15	Colt_1851_Navy_Revolver	"\"Bigfoot\"_Wallace"	redlink
12571133	25033979	12	"\"V\"_Is_for_Vagina"	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	link
113468	25033979	24	The_Mission	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	link
14096078	25033979	15	Trent_Reznor_discography	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	other
""	25033979	42	other-empty	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	other
1375614	25033979	15	Tapeworm_(band)	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	other
159547	25033979	25	Milla_Jovovich	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	other
28639397	25033979	73	Sound_into_Blood_into_Wine	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	link
1893465	25033979	30	Carina_Round	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	other
33622887	25033979	10	Conditions_of_My_Parole	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	link
147692	25033979	25	Tim_Alexander	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	other
4619790	25033979	593	Puscifer	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	link
""	25033979	36	other-wikipedia	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	other
""	25033979	93	other-google	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	other
69161	""	51	Tết	"\"Chúc_Mừng_Năm_Mới\"_or_best_wishes_for_the_new_year."	redlink
1438509	""	14	List_of_Old_West_gunfighters	"\"Cool_Hand_Conor\"_O'Neill"	redlink
""	331586	6820	other-google	"\"Crocodile\"_Dundee"	other
""	331586	20	other-twitter	"\"Crocodile\"_Dundee"	other
""	331586	781	other-wikipedia	"\"Crocodile\"_Dundee"	other
489033	331586	59	List_of_Academy_Awards_ceremonies	"\"Crocodile\"_Dundee"	link
10040606	331586	38	List_of_Australian_films	"\"Crocodile\"_Dundee"	other
2564144	331586	154	Crocodile_Dundee_in_Los_Angeles	"\"Crocodile\"_Dundee"	link
6127928	331586	14	Bobby_Alto	"\"Crocodile\"_Dundee"	other
152171	331586	13	Baz_Luhrmann	"\"Crocodile\"_Dundee"	link
8078282	331586	348	Australia_(2008_film)	"\"Crocodile\"_Dundee"	link
37386608	331586	66	2015_in_film	"\"Crocodile\"_Dundee"	link
34557	331586	12	1980s	"\"Crocodile\"_Dundee"	other
1118809	331586	297	"\"Crocodile\"_Dundee_II"	"\"Crocodile\"_Dundee"	link
7033	331586	52	Caitlin_Clarke	"\"Crocodile\"_Dundee"	other
72766	331586	31	Dundee_(disambiguation)	"\"Crocodile\"_Dundee"	other
171612	331586	221	1986_in_film	"\"Crocodile\"_Dundee"	link
2376452	331586	34	Australian_New_Wave	"\"Crocodile\"_Dundee"	other
1248074	331586	60	David_Gulpilil	"\"Crocodile\"_Dundee"	link
865241	331586	10	Crocodile_Hunter	"\"Crocodile\"_Dundee"	other
196020	331586	12	Crocodilia	"\"Crocodile\"_Dundee"	link
643649	331586	85	List_of_most_watched_television_broadcasts	"\"Crocodile\"_Dundee"	link
8306521	331586	13	Anne_Carlisle	"\"Crocodile\"_Dundee"	other
1448969	331586	18	Bart_vs._Australia	"\"Crocodile\"_Dundee"	other
70209	331586	153	Cinema_of_Australia	"\"Crocodile\"_Dundee"	link
4008173	331586	18	59th_Academy_Awards	"\"Crocodile\"_Dundee"	link
331460	331586	17	Bowie_knife	"\"Crocodile\"_Dundee"	link
37882	331586	21	Crocodile	"\"Crocodile\"_Dundee"	other
44789934	331586	1283	Deaths_in_2015	"\"Crocodile\"_Dundee"	link
22344579	331586	30	Academy_Award_for_Best_Original_Screenplay	"\"Crocodile\"_Dundee"	link
1872502	331586	10	Boy-Scoutz_'n_the_Hood	"\"Crocodile\"_Dundee"	other
5644	331586	13	Comedy_film	"\"Crocodile\"_Dundee"	link
458340	331586	10	List_of_films_set_in_New_York_City	"\"Crocodile\"_Dundee"	other
905528	331586	20	List_of_films_set_in_Australia	"\"Crocodile\"_Dundee"	other
19924718	331586	12	Hello_Kitty's_Furry_Tale_Theater	"\"Crocodile\"_Dundee"	other
1422400	331586	147	Linda_Kozlowski	"\"Crocodile\"_Dundee"	other
10449888	331586	28	List_of_Paramount_Pictures_films	"\"Crocodile\"_Dundee"	link
11730578	331586	20	List_of_American_films_of_1986	"\"Crocodile\"_Dundee"	other
2321513	331586	45	John_Meillon	"\"Crocodile\"_Dundee"	link
""	331586	910	other-empty	"\"Crocodile\"_Dundee"	other
238004	331586	15	The_Rescuers_Down_Under	"\"Crocodile\"_Dundee"	other
483895	331586	13	Young_Einstein	"\"Crocodile\"_Dundee"	link
6534317	331586	21	The_Man_from_Snowy_River_(1982_film)	"\"Crocodile\"_Dundee"	other
61066	331586	11	Skippy_the_Bush_Kangaroo	"\"Crocodile\"_Dundee"	link
10670306	331586	83	"Michael_\"Crocodile\"_Dundee"	"\"Crocodile\"_Dundee"	link
693780	331586	1222	Paul_Hogan	"\"Crocodile\"_Dundee"	link
566405	331586	26	Saltwater_crocodile	"\"Crocodile\"_Dundee"	other
""	331586	274	other-yahoo	"\"Crocodile\"_Dundee"	other
20813810	331586	13	Peter_Best_(composer)	"\"Crocodile\"_Dundee"	other
1260945	331586	28	Reginald_VelJohnson	"\"Crocodile\"_Dundee"	other
1065264	331586	12	Plaza_Hotel	"\"Crocodile\"_Dundee"	link
40156059	331586	30	Live_It_Up_(Mental_As_Anything_song)	"\"Crocodile\"_Dundee"	link
15580374	331586	289	Main_Page	"\"Crocodile\"_Dundee"	other
1264623	331586	14	Mental_As_Anything	"\"Crocodile\"_Dundee"	link
22466550	331586	16	Paul_Greco	"\"Crocodile\"_Dundee"	other
22918	331586	140	Paramount_Pictures	"\"Crocodile\"_Dundee"	link
1352817	331586	31	Rodney_Ansell	"\"Crocodile\"_Dundee"	link
""	331586	308	other-other	"\"Crocodile\"_Dundee"	other
6873934	331586	11	Steve_Irwin	"\"Crocodile\"_Dundee"	other
""	331586	417	other-bing	"\"Crocodile\"_Dundee"	other
88609	331586	38	Star_Trek_IV:_The_Voyage_Home	"\"Crocodile\"_Dundee"	link
4464034	331586	1690	Terry_Gill	"\"Crocodile\"_Dundee"	link
4148842	331586	17	The_Cowboy_Way_(film)	"\"Crocodile\"_Dundee"	other
2747201	331586	33	Shrimp_on_the_barbie	"\"Crocodile\"_Dundee"	other
885480	331586	20	The_Adventures_of_Bayou_Billy	"\"Crocodile\"_Dundee"	other
470006	16250593	24	Sue_Grafton	"\"D\"_Is_for_Deadbeat"	link
16250549	16250593	31	"\"C\"_Is_for_Corpse"	"\"D\"_Is_for_Deadbeat"	link
""	16250593	21	other-google	"\"D\"_Is_for_Deadbeat"	other
2301720	16250593	10	Kinsey_Millhone	"\"D\"_Is_for_Deadbeat"	link
""	16250593	15	other-empty	"\"D\"_Is_for_Deadbeat"	other
4619790	""	47	Puscifer	"\"D\"_Is_for_Dubby_–_The_Lustmord_Dub_Mixes"	redlink
16079543	""	43	"\"V\"_Is_for_Viagra._The_Remixes"	"\"D\"_Is_for_Dubby_–_The_Lustmord_Dub_Mixes"	redlink
25033979	""	18	"\"C\"_is_for_(Please_Insert_Sophomoric_Genitalia_Reference_HERE)"	"\"D\"_Is_for_Dubby_–_The_Lustmord_Dub_Mixes"	redlink
238341	39304968	44	David_Hockney	"\"David_Hockney:_A_Bigger_Picture\"_in_Bilbao"	link
1728819	39304968	17	Brian_Sewell	"\"David_Hockney:_A_Bigger_Picture\"_in_Bilbao"	link
""	39304968	108	other-google	"\"David_Hockney:_A_Bigger_Picture\"_in_Bilbao"	other
2548364	1896643	25	Dutch_Mantel	"\"Dr._Death\"_Steve_Williams"	link
1910311	1896643	34	Clash_of_the_Champions	"\"Dr._Death\"_Steve_Williams"	link
1451758	1896643	33	Alexey_Ignashov	"\"Dr._Death\"_Steve_Williams"	link
1983348	1896643	15	Dan_Spivey	"\"Dr._Death\"_Steve_Williams"	link
1691016	1896643	31	Kevin_Sullivan_(wrestler)	"\"Dr._Death\"_Steve_Williams"	link
16409926	1896643	19	Learning_the_Ropes	"\"Dr._Death\"_Steve_Williams"	link
1002441	1896643	238	Jim_Ross	"\"Dr._Death\"_Steve_Williams"	link
2004376	1896643	12	List_of_NWA_World_Tag_Team_Champions	"\"Dr._Death\"_Steve_Williams"	link
306115	1896643	27	List_of_Extreme_Championship_Wrestling_alumni	"\"Dr._Death\"_Steve_Williams"	link
24445746	1896643	20	List_of_Legends_of_Wrestling_characters	"\"Dr._Death\"_Steve_Williams"	link
1441354	1896643	19	Jushin_Thunder_Liger	"\"Dr._Death\"_Steve_Williams"	link
1902117	1896643	24	List_of_World_Championship_Wrestling_alumni	"\"Dr._Death\"_Steve_Williams"	link
39275628	1896643	38	List_of_professional_wrestlers_by_MMA_record	"\"Dr._Death\"_Steve_Williams"	link
33244435	1896643	72	List_of_Wrestling_Observer_Newsletter_awards	"\"Dr._Death\"_Steve_Williams"	link
""	1896643	1227	other-google	"\"Dr._Death\"_Steve_Williams"	other
""	1896643	226	other-wikipedia	"\"Dr._Death\"_Steve_Williams"	other
307526	1896643	24	Raven_(wrestler)	"\"Dr._Death\"_Steve_Williams"	link
1871528	1896643	75	Mike_Polchlopek	"\"Dr._Death\"_Steve_Williams"	link
1235858	1896643	31	Ron_Simmons	"\"Dr._Death\"_Steve_Williams"	link
3730230	1896643	46	Powerslam	"\"Dr._Death\"_Steve_Williams"	link
1779766	1896643	21	Nikita_Koloff	"\"Dr._Death\"_Steve_Williams"	link
9044129	1896643	10	Salman_Hashimikov	"\"Dr._Death\"_Steve_Williams"	link
1854348	1896643	36	Michael_Hayes_(wrestler)	"\"Dr._Death\"_Steve_Williams"	link
690045	1896643	21	Sid_Eudy	"\"Dr._Death\"_Steve_Williams"	link
1984531	1896643	30	Skandor_Akbar	"\"Dr._Death\"_Steve_Williams"	link
844984	1896643	23	Ring_name	"\"Dr._Death\"_Steve_Williams"	link
30864960	1896643	46	Mike_Rotunda	"\"Dr._Death\"_Steve_Williams"	link
1887139	1896643	15	The_Blade_Runners	"\"Dr._Death\"_Steve_Williams"	link
17599211	1896643	17	Starrcade_(1987)	"\"Dr._Death\"_Steve_Williams"	link
2143297	1896643	42	Triple_Crown_Heavyweight_Championship	"\"Dr._Death\"_Steve_Williams"	link
1873599	1896643	104	Terry_Gordy	"\"Dr._Death\"_Steve_Williams"	link
472883	1896643	47	Universal_Wrestling_Federation_(Bill_Watts)	"\"Dr._Death\"_Steve_Williams"	link
""	1896643	190	other-empty	"\"Dr._Death\"_Steve_Williams"	other
1848273	1896643	39	Vampiro	"\"Dr._Death\"_Steve_Williams"	link
579700	1896643	245	Steve_Williams	"\"Dr._Death\"_Steve_Williams"	link
13268270	1896643	17	The_Miracle_Violence_Connection	"\"Dr._Death\"_Steve_Williams"	link
2100406	1896643	38	The_Bushwhackers	"\"Dr._Death\"_Steve_Williams"	link
2267673	1896643	45	Wrestling_Observer_Newsletter_Hall_of_Fame	"\"Dr._Death\"_Steve_Williams"	link
2001780	1896643	10	Carl_Ouellet	"\"Dr._Death\"_Steve_Williams"	link
1889491	1896643	128	Dr._Death	"\"Dr._Death\"_Steve_Williams"	link
2748007	1896643	28	Bill_Watts	"\"Dr._Death\"_Steve_Williams"	link
591757	1896643	33	Big_Boss_Man_(wrestler)	"\"Dr._Death\"_Steve_Williams"	link
1912776	1896643	12	Chi-Town_Rumble	"\"Dr._Death\"_Steve_Williams"	link
1027406	1896643	18	Big_Van_Vader	"\"Dr._Death\"_Steve_Williams"	link
1690819	1896643	11	Barry_Windham	"\"Dr._Death\"_Steve_Williams"	link
2024278	1896643	17	Kenta_Kobashi	"\"Dr._Death\"_Steve_Williams"	link
1931006	1896643	44	John_Laurinaitis	"\"Dr._Death\"_Steve_Williams"	link
272874	1896643	24	Lex_Luger	"\"Dr._Death\"_Steve_Williams"	link
3864676	1896643	10	Gary_Albright	"\"Dr._Death\"_Steve_Williams"	link
30654736	1896643	17	List_of_Pro_Wrestling_Illustrated_awards	"\"Dr._Death\"_Steve_Williams"	link
1911262	1896643	11	Halloween_Havoc	"\"Dr._Death\"_Steve_Williams"	link
795587	1896643	105	Jerry_Only	"\"Dr._Death\"_Steve_Williams"	link
1785504	1896643	16	Ed_Ferrara	"\"Dr._Death\"_Steve_Williams"	link
21771811	1896643	51	List_of_WWE_alumni_(S–Z)	"\"Dr._Death\"_Steve_Williams"	link
1985456	1896643	12	List_of_WCW_World_Tag_Team_Champions	"\"Dr._Death\"_Steve_Williams"	link
""	1896643	54	other-other	"\"Dr._Death\"_Steve_Williams"	other
""	1896643	70	other-yahoo	"\"Dr._Death\"_Steve_Williams"	other
1683451	1896643	10	Paul_Orndorff	"\"Dr._Death\"_Steve_Williams"	link
1766555	1896643	34	One_Man_Gang	"\"Dr._Death\"_Steve_Williams"	link
1940350	1896643	12	Powerbomb	"\"Dr._Death\"_Steve_Williams"	other
993933	1896643	17	Rikishi_(wrestler)	"\"Dr._Death\"_Steve_Williams"	link
1286898	1896643	19	Mitsuharu_Misawa	"\"Dr._Death\"_Steve_Williams"	link
1840022	1896643	36	Pro_Wrestling_Illustrated	"\"Dr._Death\"_Steve_Williams"	link
4167276	1896643	27	Serena_Deeb	"\"Dr._Death\"_Steve_Williams"	link
674611	1896643	18	Tazz	"\"Dr._Death\"_Steve_Williams"	link
471752	1896643	19	World_Class_Championship_Wrestling	"\"Dr._Death\"_Steve_Williams"	link
""	1896643	75	other-bing	"\"Dr._Death\"_Steve_Williams"	other
2652496	1896643	12	Virtual_Pro_Wrestling_2:_Ōdō_Keishō	"\"Dr._Death\"_Steve_Williams"	link
882433	1896643	14	Theodore_Long	"\"Dr._Death\"_Steve_Williams"	link
17935523	1896643	17	Starrcade_(1999)	"\"Dr._Death\"_Steve_Williams"	link
1896801	1896643	35	The_Varsity_Club	"\"Dr._Death\"_Steve_Williams"	link
3202675	1896643	255	WWF_Brawl_for_All	"\"Dr._Death\"_Steve_Williams"	link
1513139	1896643	12	Starrcade	"\"Dr._Death\"_Steve_Williams"	link
5978726	1896643	13	The_Great_American_Bash	"\"Dr._Death\"_Steve_Williams"	link
3209327	1896643	33	Universal_Wrestling_Federation_(Herb_Abrams)	"\"Dr._Death\"_Steve_Williams"	link
470006	16251903	26	Sue_Grafton	"\"E\"_Is_for_Evidence"	link
""	16251903	10	other-wikipedia	"\"E\"_Is_for_Evidence"	other
""	16251903	26	other-google	"\"E\"_Is_for_Evidence"	other
16250593	16251903	27	"\"D\"_Is_for_Deadbeat"	"\"E\"_Is_for_Evidence"	link
2301720	16251903	10	Kinsey_Millhone	"\"E\"_Is_for_Evidence"	link
39737124	""	23	Yoon_So-hee	EXO_Music_Video_Drama	redlink
29668256	""	24	Separation_(statistics)	"\"Firth\"_logistic_regression"	redlink
""	27653497	12	other-empty	"\"Five_stars_rise_in_the_East\"_arm_protector"	other
""	27653497	32	other-wikipedia	"\"Five_stars_rise_in_the_East\"_arm_protector"	other
33109636	27653497	17	List_of_Chinese_cultural_relics_forbidden_to_be_exhibited_abroad	"\"Five_stars_rise_in_the_East\"_arm_protector"	other
3855385	44783572	10	Albanian_Subversion	"\"Free_Albania\"_National_Committee"	link
1733948	44783572	12	Midhat_Frashëri	"\"Free_Albania\"_National_Committee"	link
""	44783572	13	other-google	"\"Free_Albania\"_National_Committee"	other
1696824	""	20	Kirkwood,_Atlanta	"\"Future_(rapper)\"_on_@Wikipedia:_https://en.wikipedia.org/wiki/Future_(rapper)"	redlink
""	37732991	14	other-google	"\"Good_Day,_Fellow!\"_\"Axe_Handle!\""	other
""	37732991	16	other-wikipedia	"\"Good_Day,_Fellow!\"_\"Axe_Handle!\""	other
""	8617839	15	other-wikipedia	Good_Luck,_Father_Ted	other
""	8617839	64	other-google	Good_Luck,_Father_Ted	other
26941571	8617839	16	List_of_Father_Ted_characters	Good_Luck,_Father_Ted	link
11313	8617839	10	Father_Ted	Good_Luck,_Father_Ted	link
6734598	8617839	94	List_of_Father_Ted_episodes	Good_Luck,_Father_Ted	link
8618299	8617839	13	Entertaining_Father_Stone	Good_Luck,_Father_Ted	link
""	8617839	18	other-empty	Good_Luck,_Father_Ted	other
16203597	16204072	23	"\"G\"_Is_for_Gumshoe"	"\"H\"_Is_for_Homicide"	link
""	16204072	24	other-google	"\"H\"_Is_for_Homicide"	other
2301720	16204072	11	Kinsey_Millhone	"\"H\"_Is_for_Homicide"	link
470006	16204072	26	Sue_Grafton	"\"H\"_Is_for_Homicide"	link
38164596	1261557	13	Where_Are_We_Now?	Heroes	link
""	1261557	38	other-bing	Heroes	other
1261548	1261557	59	Station_to_Station	Heroes	link
809108	1261557	61	The_Thin_White_Duke	Heroes	link
3041018	1261557	395	Stage_(David_Bowie_album)	Heroes	link
77767	1261557	23	The_Rise_and_Fall_of_Ziggy_Stardust_and_the_Spiders_from_Mars	Heroes	link
4231979	1261557	29	V-2_Schneider	Heroes	link
1261545	1261557	17	Young_Americans_(album)	Heroes	link
1448584	1261557	14	Symphony_No._1_(Glass)	Heroes	link
""	1261557	30	other-other	Heroes	other
954203	1261557	11	Neu!_'75	Heroes	link
24540	1261557	10	Philip_Glass	Heroes	link
15580374	1261557	40	Main_Page	Heroes	other
4232032	1261557	16	Sense_of_Doubt	Heroes	link
286992	1261557	12	Oblique_Strategies	Heroes	link
1448572	1261557	2625	Low_(David_Bowie_album)	Heroes	link
21222062	1261557	17	Brian_Eno	Heroes	link
8786	1261557	2302	David_Bowie	Heroes	link
331174	1261557	1076	David_Bowie_discography	Heroes	link
195834	1261557	18	Aladdin_Sane	Heroes	link
3371542	1261557	30	Beauty_and_the_Beast_(David_Bowie_song)	Heroes	link
2371832	1261557	16	Carlos_Alomar	Heroes	link
2242811	1261557	10	Best_of_Bowie	Heroes	link
3239642	1261557	748	"\"Heroes\"_(David_Bowie_song)"	Heroes	link
2717533	1261557	17	Joe_the_Lion	Heroes	link
10631715	1261557	12	Fripp_&_Eno	Heroes	link
12439517	1261557	13	Hansa_Tonstudio	Heroes	link
735563	1261557	11	Florian_Schneider	Heroes	link
""	1261557	1904	other-google	Heroes	other
""	1261557	423	other-wikipedia	Heroes	other
""	1261557	13	other-twitter	Heroes	other
525018	1261557	15	Hunky_Dory	Heroes	link
1261524	1261557	10	Let's_Dance_(David_Bowie_album)	Heroes	link
11327948	1261557	482	Heroes	Heroes	other
1261561	1261557	88	Lodger_(album)	Heroes	link
4231891	1261557	17	Blackout_(David_Bowie_song)	Heroes	link
160783	1261557	25	1977_in_music	Heroes	link
1055167	1261557	10	Diamond_Dogs	Heroes	link
700842	1261557	11	David_Bowie_(1969_album)	Heroes	link
""	1261557	33	other-yahoo	Heroes	other
""	1261557	410	other-empty	Heroes	other
38164057	1261557	150	The_Next_Day	Heroes	link
751761	1261557	26	Tony_Visconti	Heroes	link
1448522	1261557	35	Symphony_No._4_(Glass)	Heroes	link
1260011	1261557	27	The_Idiot_(album)	Heroes	link
4232134	1261557	21	The_Secret_Life_of_Arabia	Heroes	link
207103	1261557	10	Vince_Clarke	Heroes	link
1261535	1261557	11	The_Man_Who_Sold_the_World_(album)	Heroes	link
35060284	1261557	31	Robert_Fripp_discography	Heroes	link
25893	1261557	143	Robert_Fripp	Heroes	link
4232070	1261557	12	Neuköln	Heroes	link
923669	1261557	26	Lust_for_Life_(album)	Heroes	link
4232056	1261557	14	Moss_Garden	Heroes	link
1261565	1261557	51	Scary_Monsters_(And_Super_Creeps)	Heroes	link
30871303	3564374	65	I_Am_that_I_Am	"\"I_AM\"_Activity"	link
704528	3564374	27	Elizabeth_Clare_Prophet	"\"I_AM\"_Activity"	other
23085408	3564374	76	Legends_of_Mount_Shasta	"\"I_AM\"_Activity"	link
1172131	3564374	47	List_of_founders_of_religious_traditions	"\"I_AM\"_Activity"	link
13251936	3564374	37	Ascended_Master_Teachings	"\"I_AM\"_Activity"	other
425823	3564374	16	Alice_Bailey	"\"I_AM\"_Activity"	other
1130388	3564374	18	Robert_LeFevre	"\"I_AM\"_Activity"	link
31597516	3564374	21	St._Germain_(Theosophy)	"\"I_AM\"_Activity"	link
21742	3564374	17	New_Age	"\"I_AM\"_Activity"	link
""	3564374	369	other-empty	"\"I_AM\"_Activity"	other
2399670	3564374	10	The_Aquarian_Gospel_of_Jesus_the_Christ	"\"I_AM\"_Activity"	other
2880213	3564374	18	United_States_v._Ballard	"\"I_AM\"_Activity"	link
200264	3564374	85	Theosophical_Society	"\"I_AM\"_Activity"	link
5501897	3564374	11	Seven_rays	"\"I_AM\"_Activity"	other
833097	3564374	18	William_Dudley_Pelley	"\"I_AM\"_Activity"	link
31480	3564374	41	Theosophy	"\"I_AM\"_Activity"	link
""	3564374	60	other-bing	"\"I_AM\"_Activity"	other
""	3564374	118	other-other	"\"I_AM\"_Activity"	other
""	3564374	33	other-facebook	"\"I_AM\"_Activity"	other
""	3564374	43	other-yahoo	"\"I_AM\"_Activity"	other
""	3564374	51	other-wikipedia	"\"I_AM\"_Activity"	other
""	3564374	640	other-google	"\"I_AM\"_Activity"	other
""	3564374	24	other-twitter	"\"I_AM\"_Activity"	other
609606	3564374	42	Church_Universal_and_Triumphant	"\"I_AM\"_Activity"	link
3207665	3564374	14	A_Dweller_on_Two_Planets	"\"I_AM\"_Activity"	link
804126	3564374	52	Ascended_master	"\"I_AM\"_Activity"	link
914523	3564374	100	Guy_Ballard	"\"I_AM\"_Activity"	link
1426548	3564374	20	I_Am	"\"I_AM\"_Activity"	link
14703837	3564374	38	Great_White_Brotherhood	"\"I_AM\"_Activity"	link
2399768	3564374	42	List_of_new_religious_movements	"\"I_AM\"_Activity"	other
24146787	3564374	40	List_of_UFO_religions	"\"I_AM\"_Activity"	link
42247669	17495549	30	Just_Around_the_Riverbend	"\"I_Want\"_song"	other
41895775	17495549	23	For_the_First_Time_in_Forever	"\"I_Want\"_song"	link
6131602	17495549	38	Go_the_Distance	"\"I_Want\"_song"	other
""	17495549	36	other-empty	"\"I_Want\"_song"	other
42850941	17495549	38	When_Will_My_Life_Begin?	"\"I_Want\"_song"	link
10090698	17495549	30	Part_of_Your_World	"\"I_Want\"_song"	link
""	17495549	135	other-google	"\"I_Want\"_song"	other
""	17495549	23	other-other	"\"I_Want\"_song"	other
22825519	23158690	11	Anca_Petrescu	"\"Ion_Mincu\"_University_of_Architecture_and_Urbanism"	other
1249478	23158690	24	List_of_universities_in_Romania	"\"Ion_Mincu\"_University_of_Architecture_and_Urbanism"	other
""	23158690	60	other-google	"\"Ion_Mincu\"_University_of_Architecture_and_Urbanism"	other
""	23158690	22	other-empty	"\"Ion_Mincu\"_University_of_Architecture_and_Urbanism"	other
""	16252208	11	other-empty	"\"J\"_Is_for_Judgment"	other
470006	16252208	17	Sue_Grafton	"\"J\"_Is_for_Judgment"	link
""	16252208	20	other-google	"\"J\"_Is_for_Judgment"	other
16252078	16252208	25	"\"I\"_Is_for_Innocent"	"\"J\"_Is_for_Judgment"	link
1960430	44810634	12	Fear_of_Pop:_Volume_1	"\"Just_Your_Average_Second_On_This_Planet\"_1997-1998"	link
""	44810634	10	other-empty	"\"Just_Your_Average_Second_On_This_Planet\"_1997-1998"	other
""	16252523	16	other-empty	"\"K\"_Is_for_Killer"	other
16252208	16252523	24	"\"J\"_Is_for_Judgment"	"\"K\"_Is_for_Killer"	link
""	16252523	35	other-google	"\"K\"_Is_for_Killer"	other
""	16252523	16	other-wikipedia	"\"K\"_Is_for_Killer"	other
470006	16252523	28	Sue_Grafton	"\"K\"_Is_for_Killer"	link
""	487976	12	other-empty	"\"King\"_Bennie_Nawahi"	other
""	487976	10	other-other	"\"King\"_Bennie_Nawahi"	other
""	487976	11	other-wikipedia	"\"King\"_Bennie_Nawahi"	other
""	487976	36	other-google	"\"King\"_Bennie_Nawahi"	other
2110406	""	10	Pretty_Ricky	"Knockin'_Boots	redlink"	""
""	38499517	68	other-empty	"\"Left-Wing\"_Communism:_An_Infantile_Disorder"	other
""	38499517	215	other-google	"\"Left-Wing\"_Communism:_An_Infantile_Disorder"	other
""	38499517	70	other-wikipedia	"\"Left-Wing\"_Communism:_An_Infantile_Disorder"	other
